title,date,details_url,content
"FOUNDATION WORK: Entry Points, Barriers and Funding","May 4, 2016",http://www2.artcenter.edu/leapdialogues/,"Tara Roth, President of the Goldhirsh Foundation, and Lee Davis, Co-Director, Center for Social Design, Maryland Institute College of Art (MICA), join 84 thought-leaders who contributed to <a href=""http://www.designmattersatartcenter.org/"">Designmatters at ArtCenter's</a> newest publication, LEAP Dialogues, a first of its kind book that explores the new career pathways in social innovation for designers."
Liberty Hill to Honor Benjamin Goldhirsh with the Upton Sinclair Award,"March 28, 2016",https://www.libertyhill.org/2016/03/28/liberty-hill-to-honor-benjamin-goldhirsh-with-the-upton-sinclair-award,"Goldhirsh Foundation chairman, Ben Goldhirsh is recognized by Liberty Hill and presented the Upton Sinclair Award, an award for those who, like the muckraking journalist Sinclair, combine their talents and beliefs to advance social justice."
"Los Angeles Philanthropic Partnership Announces $600,000 in Additional Grants to My LA2050 Participants","March 9, 2016",https://drive.google.com/file/d/0B3d8uMoYWTmNa1IxajBkYjM5Z00/view?usp=sharing,"Roy and Patricia Disney, Annenberg, and Goldhirsh family foundations collaborate to invest more than $1.6 million to support social sector innovation in Los Angeles, and pilot program to prepare next generation philanthropists"
"Can We Build a Better Los Angeles by 2050, Caring Magazine","January 19, 2016",http://www.caringmagazine.org/can-we-build-a-better-los-angeles-by-2050/,The role of community feedback in cultivating a more sustainable future.
"LA2050 Renews Civic Engagement in Los Angeles, 2015 Grant Winners Announced, KCET","December 31, 2015",http://www.kcet.org/socal/departures/la2050-renews-civic-engagement-in-los-angeles-2015-grant-winners-announced.html,KCET's Adriana Widdoes writes about the winners of the 2015 My LA2050 Grants Challenge and the LA2050 initiative's broader efforts to renew civic engagement in Los Angeles.
"LA2050 2015 Winners, Get Downtown","December 10, 2015",http://www.getdowntown.la/features/2016/1/5/la2050-2015-winners-la-victoria-at-las-perlas,"Get Downtown, a Downtown Los Angeles cultural and arts guide, congratulates all of the 2015 My LA2050 winners, particularly praising the Los Angeles Review of Books. With the LA2050 grant, LARB will be profiling one Los Angeles artist or writer every day for one year."
"My LA2050 Announces Winners of $1 Million Grant Competition, The Hollywood Reporter","December 8, 2015",http://www.hollywoodreporter.com/news/my-la2050-announces-winners-1-846985,"Winning programs have industry ties to such names as Mark Gordon, Norman Lear and actress Amy Smart."
And the My LA2050 Winners Are...,"December 8, 2015",http://www.prnewswire.com/news-releases/and-the-my-la2050-winners-are-300189904.html?tc=eml_cleartime,"LA2050 announces $100,000 awards to 10 winners of the My LA2050 Grants Challenge"
$1 Million Up for Grabs: Cast Your Vote for Your Favorite Ideas Shaping LA’s Future,"October 20, 2015",http://www.prweb.com/releases/2015/10/prweb13031085.htm,"LA2050 welcomes Angelenos to vote in the My LA2050 Grants Challenge and help organizations win $100,000 to shape the future of Los Angeles."
"Designing the City of our Dreams, Vator","September 14, 2015",http://vator.tv/news/2015-09-14-designing-the-city-of-our-dreams,"Goldhirsh Foundation president, Tara Roth, on how startups in Los Angeles foster ideation and civic activation and incubate solutions to pressing challenges."
Mayor Garcetti Appoints Transportation Strategist at LADOT Supported by Grant from Goldhirsh Foundation,"August 18, 2015",http://www.lamayor.org/mayor_garcetti_announces_appointment_of_transportation_technology_strategist_fellow,Mayor Eric Garcetti today announced the appointment of Ashley Z. Hand as the transportation technology strategist fellow at the Los Angeles Department of Transportation (LADOT). The fellowship is funded through a grant from the Goldhirsh Foundation.
"The Seven Most Innovative Philanthropists in Los Angeles, Starfish Impact","July 24, 2015",http://starfishimpact.com/2015/07/the-seven-most-innovative-philanthropists-in-los-angeles/,Goldhirsh and its LA2050 initiative featured among top philanthropic thinkers in Los Angeles that inspire with creativity and impact.
"Resources At USC, Silicon Beach & Online That Can Help You Become The Next Unicorn, Medium","July 20, 2015",https://medium.com/@lisamsilvia/resources-at-usc-that-can-help-you-become-the-next-unicorn-8381226a120b,Goldhirsh Foundation and LA2050 listed among resources to help support entrepreneurship in Silicon Beach and throughout Los Angeles.
"New LA2050 Report, Vision for a Successful Los Angeles","July 14, 2015",http://www.prweb.com/releases/2015/07/prweb12845346.htm,"Today, LA2050 released its latest findings in LA2050: Vision for a Successful Los Angeles. This report is the second in a series of publications that comprehensively measure the quality of life in Los Angeles County. LA2050, an initiative of the Goldhirsh Foundation, drives and tracks progress toward building a better future for the Los Angeles region."
"L.A. City Hall Seeks to Fill Special Position on Transportation Technology, Route 50","June 24, 2015",http://www.routefifty.com/2015/06/los-angeles-transportation-technology-advisor/116233/,"Route 50's Neil Ungerleider checked in with Goldhirsh Foundation's President, Tara Roth, to discuss the foundation's investment in the City of Los Angeles' Department of Transportation Technology Advisor."
"How Outdoor Civic Venues Are Being Adapted for Events, Goldhirsh Foundation's LA2050 Event at Grand Park as a Case Study","June 15, 2015",http://www.bizbash.com/how-outdoor-civic-venues-are-being-adapted-for-events/new-york/story/30559/#.VX9bzorF_gG,Forward-thinking cities are building event-friendly amenities into outdoor space at public venues.
Tara Roth featured on BBC News Business Matters,"June 5, 2015",http://www.bbc.co.uk/programmes/p02sftct,Tara Roth joins BBC News Business Matters to talk about the Goldhirsh Foundation's work in Los Angeles supporting social innovation.
"Tara Roth, President of the Goldhirsh Foundation, featured in Vator TV","May 29, 2015",http://vator.tv/news/2015-05-29-the-la-tech-culture-and-the-talent-pool-challenge,"Check out a full video of Vator Splash LA 2014: ""Technology and the LA Culture,"" with panelists: Nate Redmond of Rustic Canyon; Rob Kornegay of Wilson Sonsini; Peter Marx of City of LA; Ashish Soni of USC Viterbi School of Engeineering, Viterbi Startup Garage & VSi2; Eva Ho of Susa Ventures; and Tara Roth of Goldhirsh Foundation, LA2050; with moderator Kevin Winston, Founder of Digital LA."
LA Downtown News: Pershing Square Playgrounds Break Ground,"May 13, 2015",http://www.ladowntownnews.com/news/pershing-square-playgrounds-break-ground/article_d736d534-f985-11e4-b023-c7c0013aa975.html,"Representatives from the city Department of Recreation and Parks, the Pershing Square Park Advisory Board and the Goldhirsh Foundation’s LA2050 Campaign joined LA City Councilman Jose Huizar to commemorate the groundbreaking of two new children’s playgrounds."
Goldhirsh Foundation supported LADOT Fellowship featured in Fast Company,"May 7, 2015",http://www.fastcompany.com/3046055/tech-forecast/las-mayor-garcetti-were-hiring-a-ride-share-and-autonomous-car-advisor,"Los Angeles, the city that is synonymous with car culture, is getting a citywide advisor on autonomous vehicles, rideshares, and bicycles. The new position at Los Angeles's Department of Transportation will be a year-long fellowship made possible by a grant from the Goldhirsh Foundation."
"Twitter makes a stop at Incubator School, an LA2050 grantee","April 30, 2015",https://twitter.com/TwitterDev/status/593829705431658496,null
Groups work to turn South LA lots into children's playgrounds,"April 30, 2015",http://www.scpr.org/news/2015/04/30/50927/groups-work-to-turn-south-la-lots-into-children-s/,LA2050 grantees Trust for Public Land and Community Health Council's LA Open Acres are featured in this story on KPCC.
Los Angeles Community Impact hosts Spring Showcase featuring Shauna Nep,"April 29, 2015",http://dailytrojan.com/2015/04/29/los-angeles-community-impact-hosts-spring-showcase/,"USC's Los Angeles Community Impact hosted its Spring Showcase, the culmination of the organization’s semester-long consulting projects on Wednesday. Shauna Nep, director of community and innovation at the Goldhirsh Foundation, discussed what Goldhirsh Foundation calls the five points along the “circuitous path of innovation”: necessity, hustle, storytelling, unusual suspects and the reflective incubation period."
Tara Roth interviewed by Lioness Magazine,"April 17, 2015",http://lionessmagazine.com/tara-roth-supports-innovation-at-the-goldhirsh-foundation/,"With a staff of only four full-time employees, along with some contractors and interns, the Goldhirsh Foundation is making incredible strides to work toward its mission of supporting personal innovation in Los Angeles."
"Risk-Taking Philanthropy Work Can Make a Big Urban Impact, Next City Profiles Shauna Nep","April 16, 2015",http://nextcity.org/daily/entry/shauna-nep,"Next City profiles Shauna Nep, Director of Community and Innovation at the Goldhirsh Foundation."
"L.A. saving water but still has a long way to go, Los Angeles Times","April 13, 2015",http://www.latimes.com/local/california/la-me-adv-water-use-compared-20150413-story.html,"UCLA institute gives Los Angeles County a 'C' for its management of water supply and water quality, and researchers find that L.A. County's potable water use is still almost twice as high as average European city."
"UCLA gives Los Angeles County's environment C+ grade, Los Angeles Sun Times","April 8, 2015",http://la.suntimes.com/la-news/7/88/204830/ucla-gives-los-angeles-countys-environment-c-grade/,"“UCLA’s report card fills a gap in what we know about the county,” said Tara Roth, president of the Goldhirsh Foundation. “It gives the public and policymakers evidence of where improvement is needed, as well as a framework to talk about it. Our hope is that it leads to broader decision-making and policies to improve the county as a whole, not just one community at a time.”"
