title,date,details_url,content
"You Asked, They Answered L.A. leaders and city activists answer virtual questions at LA2050 and The Atlantic's Twitter party online, The Atlantic","September 26, 2014",http://www.theatlantic.com/live/articles/2014/09/you-asked-citylab2014/380767/,LA2050 and The Atlantic hosted a virtual Twitter party to kickoff the conversation about discovering urban solutions to global problems taking place at this year's CityLab event.
"Tara Roth Could Make L.A.’s Dreams Come True, LA Woman of the Year, LA Magazine","September 16, 2014",http://www.lamag.com/lawomanarticle/tara-roth/,"The president of Goldhirsh Foundation launched LA2050, a civic advocacy program that invests in the future of L.A."
"LA2050 Opens Online Voting for 2014 Grants Challenge, The Hollywood Reporter","September 2, 2014",http://www.hollywoodreporter.com/news/la2050-opens-online-voting-2014-729662,"LA2050 — an initiative backed by the Goldhirsh Foundation — has opened online voting for its 2014 Grants Challenge, which will see a total of $1 million doled out and distributed evenly among 10 winning submissions."
"Mayor Garcetti Addresses Gentrification Concerns Along L.A. River, KCET","June 2, 2014",http://www.kcet.org/socal/departures/lariver/confluence/river-notes/mayor-garcetti-addresses-gentrification-concerns-along-la-river.html,"Right on the heels of Mayor Eric Garcetti's triumphant announcement of the $1-billion investment on the Los Angeles River, came concerns of longtime residents being pushed out in favor of developers looking to turn a profit on what is now prime real estate."
"The best and brightest of Los Angeles are hard at work planning the city's future, Smart Business Magazine","May 1, 2014",http://www.smartbusinessemag.com/may2014/LosAngeles/0/0#&pageSet=7&contentItem=0,"LA2050 is an initiative to create a shared vision for the future of Los Angeles, and to drive and track progress toward that vision."
"#LA2050Listens, LA Commons, Community art project to offer ideas on how to improve MacArthur Park, Los Angeles Times","April 28, 2014",http://www.latimes.com/local/la-me-macarthur-park-20140428-story.html,"The #LA2050Listens event, called Story Summit, was organized by L.A. Commons, a community program that uses art to give a voice to underrepresented areas. This particular gathering featured Aztec dancers, arts and crafts workshops and free tamales."
"How a city created a roadmap to a brighter future, PSFK","March 13, 2014",http://www.psfk.com/2014/03/los-angeles-crowdsourcing-social-good.html?utm_source=Sailthru&utm_medium=email&utm_term=daily&utm_campaign=Daily%202014-03-13#!zyo0B,"In 2013, the Goldhirsh Foundation launched LA2050, an initiative to create a shared vision for the future of Los Angeles, and to drive and track progress toward that vision. LA2050 looked at the health of the region through eight key indicators and made informed projections about where Los Angeles would be in the year 2050 if the city continued operate and the people continued to live as they are now."
"LA2020 v. LA2050: The Battle Over L.A.’s Future, Los Angeles Magazine","March 12, 2014",http://www.lamag.com/citythink/citythinkblog/2014/03/12/la2020-v-la2050-the-battle-over-las-future,"Run by the Goldhirsh foundation, LA2050’s hope is to create a shared vision of L.A.’s future by fostering a collaborative climate among Angelenos."
"A brighter vision of LA’s future, KCRW","March 12, 2014",http://blogs.kcrw.com/whichwayla/2014/03/a-brighter-vision-of-las-future,A new report that looks farther into LA’s future says there is unlimited potential in LA that needs to be “unleashed.”
"What LA's future could be if money and politics weren't issues, KPCC","March 4, 2014",http://www.scpr.org/programs/take-two/2014/03/04/36298/what-la-s-future-could-be-if-money-and-politics-we/,"From small ideas to big, a look now at what a vision for LA's own future could look like with Tara Roth, president of the Goldhirsh Foundation."
"A Field Guide To Innovation In Los Angeles, PSFK","December 20, 2013",http://www.psfk.com/2013/12/los-angeles-innovation.html#!ql6IG,"In L.A. innovating means providing a better quality of life for the city’s inhabitants across public, private, and nonprofit sectors."
"Get to know the Goldhirsh Foundation, KCRW","September 19, 2013",http://blogs.kcrw.com/ipp/?p=1535,The Goldhirsh Foundation was among the first KCRW supporters to invest in the Independent Producer Project. For the past two years the Foundation has provided grant funding that allows KCRW to provide financial and production support to some of public media’s most innovative independent storytellers.
"Prophet Margin, An Interview with Ben Goldhirsh, Los Angeles Magazine","July 1, 2013",http://www.lamag.com/citythinkblog/prophet-margin/,"Ben Goldhirsh, the founder of Good Worldwide, is putting his millions toward making L.A. a better place—and to making a buck."
"Connie Butler of MoMA goes to Hammer Museum as new chief curator, Los Angeles Times","May 16, 2013",http://articles.latimes.com/2013/may/16/entertainment/la-et-cm-connie-butler-of-moma-goes-to-hammer-museum-as-new-chief-curator-20130516,"After more than a year-long search, the Hammer Museum has hired Connie Butler, currently the chief curator of drawings at the Museum of Modern Art in New York, as its chief curator."
"Winners of $1 million in grants to improve L.A. announced, Los Angeles Times","May 8, 2013",http://articles.latimes.com/2013/may/08/local/la-me-ln-winners-of-1-million-prize-to-improve-la-announced-20130508,A Los Angeles charitable group that conducted an online poll to determine which of 279 nominated nonprofit and private companies should share in a $1-million prize announced its winners Wednesday.
"Announcing the winners of the LA2050 project, KPCC","May 8, 2013",http://www.scpr.org/programs/take-two/2013/05/08/31692/la2050-project-announces-their-winners/,The LA2050 project by the Goldhirsh Foundation asked organizations across the city what they would do to shape the future of Los Angeles.
"2050 LA Will Be Doing So Much More With Its Underused Space, Curbed LA","May 8, 2013",http://la.curbed.com/archives/2013/05/2050_la_will_be_doing_so_much_more_with_its_underused_space.php,"The votes have been counted and KPCC has the list of 10 projects that are going to make Los Angeles super awesome in 2050. Well, hopefully. The projects are all winners in the LA2050 competition and get to split $1 million in prize money--the competition fielded 270 ideas that might make LA a better place in 37 years, and pledged to give $100,000 to the top vote-getter in each of eight categories, plus two additional wildcard projects chosen by the sponsoring Goldhirsh Foundation."
"My LA2050: Project Proposals For A Better Los Angeles, Los Angeles Magazine","April 16, 2013",http://www.lamag.com/citythink/citythinkblog/2013/04/16/my-la2050-project-proposals-for-a-better-los-angeles,"Along with The Goldhirsh Foundation, GOOD (whose co-founder and CEO happens to be Ben Goldhirsh), has launched the My LA2050 project, a “community-owned mechanism” designed to reimagine L.A.’s future. With the help of experts, academics, practitioners, and supporters, The Goldhirsh Foundation will fund ten Angeleno-submitted project proposals with one million in grants."
